tweet_english,tokenize_tweet,labels,cleaned_tweet
The latest survey on the electability of presidential and vice presidential candidate pairs from the Indometer survey institute in full at Cakimin Gibran Mahfud,"['The', 'latest', 'survey', 'on', 'the', 'electability', 'of', 'presidential', 'and', 'vice', 'presidential', 'candidate', 'pairs', 'from', 'the', 'Indometer', 'survey', 'institute', 'in', 'full', 'at', 'Cakimin', 'Gibran', 'Mahfud']",netral,survey electability presidential vice presidential candidate pairs Indometer survey institute Cakimin Gibran Mahfud
inventor turns leaf blower into a hovercraft ep,"['inventor', 'turns', 'leaf', 'blower', 'into', 'a', 'hovercraft', 'ep']",netral,inventor leaf blower hovercraft ep
"There's a lot of buzz about ethics, according to political friends, is ethics still important in our politics?","['There', ""'s"", 'a', 'lot', 'of', 'buzz', 'about', 'ethics', ',', 'according', 'to', 'political', 'friends', ',', 'is', 'ethics', 'still', 'important', 'in', 'our', 'politics', '?']",positif,"'s lot buzz ethics , political friends , ethics politics ?"
"Gerindra Secretary General: Regarding the Ordal phenomenon, it is not a problem if it meets the standards","['Gerindra', 'Secretary', 'General', ':', 'Regarding', 'the', 'Ordal', 'phenomenon', ',', 'it', 'is', 'not', 'a', 'problem', 'if', 'it', 'meets', 'the', 'standards']",positif,"Gerindra Secretary : Ordal phenomenon , meets standards"
"recap of the debate between the three camps, guys","['recap', 'of', 'the', 'debate', 'between', 'the', 'three', 'camps', ',', 'guys']",netral,"recap debate camps , guys"
"cool plate rack, cheap price IDR, get it only here","['cool', 'plate', 'rack', ',', 'cheap', 'price', 'IDR', ',', 'get', 'it', 'only', 'here']",positif,"cool plate rack , cheap price IDR ,"
azzura longlasting lipstick long lasting lipstick price Rp. get it only here,"['azzura', 'longlasting', 'lipstick', 'long', 'lasting', 'lipstick', 'price', 'Rp', '.', 'get', 'it', 'only', 'here']",netral,azzura longlasting lipstick lasting lipstick price Rp .
"Anies Baswedan is considered to have involved a child who died in order to bring down Prabowo, Subianto Dahnil Anzar's violent character","['Anies', 'Baswedan', 'is', 'considered', 'to', 'have', 'involved', 'a', 'child', 'who', 'died', 'in', 'order', 'to', 'bring', 'down', 'Prabowo', ',', 'Subianto', 'Dahnil', 'Anzar', ""'s"", 'violent', 'character']",negatif,"Anies Baswedan considered involved child died bring Prabowo , Subianto Dahnil Anzar 's violent character"
stacey jelly ink lip stain make up glossy plumppy lip tint price Rp. get it only here,"['stacey', 'jelly', 'ink', 'lip', 'stain', 'make', 'up', 'glossy', 'plumppy', 'lip', 'tint', 'price', 'Rp', '.', 'get', 'it', 'only', 'here']",netral,stacey jelly ink lip stain glossy plumppy lip tint price Rp .
Mr. De Biden is nothing compared to Mr. De Mulyono from Wakanda awokwokwok all state officials are raped without ethics but he can still lie here and there awokwokwokwok,"['Mr.', 'De', 'Biden', 'is', 'nothing', 'compared', 'to', 'Mr.', 'De', 'Mulyono', 'from', 'Wakanda', 'awokwokwok', 'all', 'state', 'officials', 'are', 'raped', 'without', 'ethics', 'but', 'he', 'can', 'still', 'lie', 'here', 'and', 'there', 'awokwokwokwok']",negatif,Mr. Biden compared Mr. Mulyono Wakanda awokwokwok officials raped ethics lie awokwokwokwok
Percent of women want to change husband via,"['Percent', 'of', 'women', 'want', 'to', 'change', 'husband', 'via']",positif,Percent women change husband
Anies denies that he attacked Prabowo rather than punished him during the presidential candidate debate,"['Anies', 'denies', 'that', 'he', 'attacked', 'Prabowo', 'rather', 'than', 'punished', 'him', 'during', 'the', 'presidential', 'candidate', 'debate']",negatif,Anies denies attacked Prabowo punished presidential candidate debate
Highest respect for Mr. Prabowo Subianto and Indonesia's progress,"['Highest', 'respect', 'for', 'Mr.', 'Prabowo', 'Subianto', 'and', 'Indonesia', ""'s"", 'progress']",positif,respect Mr. Prabowo Subianto Indonesia 's progress
"If the moon could talk, if the wind had an ID card, read it while singing","['If', 'the', 'moon', 'could', 'talk', ',', 'if', 'the', 'wind', 'had', 'an', 'ID', 'card', ',', 'read', 'it', 'while', 'singing']",netral,"moon talk , wind card , read singing"
"Rolled travel prayer mats discount link travel prayer prayer mats that are simple but don't take up a lot of space, guys, let's have a discount","['Rolled', 'travel', 'prayer', 'mats', 'discount', 'link', 'travel', 'prayer', 'prayer', 'mats', 'that', 'are', 'simple', 'but', 'do', ""n't"", 'take', 'up', 'a', 'lot', 'of', 'space', ',', 'guys', ',', 'let', ""'s"", 'have', 'a', 'discount']",netral,"Rolled travel prayer mats discount link travel prayer prayer mats simple n't lot space , guys , 's discount"
"highwaist cargo jeans link discount cargo pants for women for those who want to wear baggy pants ala ala Fuji, you can wear these guys, hijab friendly too, you know","['highwaist', 'cargo', 'jeans', 'link', 'discount', 'cargo', 'pants', 'for', 'women', 'for', 'those', 'who', 'want', 'to', 'wear', 'baggy', 'pants', 'ala', 'ala', 'Fuji', ',', 'you', 'can', 'wear', 'these', 'guys', ',', 'hijab', 'friendly', 'too', ',', 'you', 'know']",positif,"highwaist cargo jeans link discount cargo pants women wear baggy pants ala ala Fuji , wear guys , hijab friendly ,"
Official UAS supports Anies Muhaimin to pass two or three islands via,"['Official', 'UAS', 'supports', 'Anies', 'Muhaimin', 'to', 'pass', 'two', 'or', 'three', 'islands', 'via']",positif,Official UAS supports Anies Muhaimin pass islands
"plastic drawer cabinet drawer storage link multifunctional plastic cabinet can be used to store clothes can also be used to store memories guysss wwkwkw come on, discounts are abundant","['plastic', 'drawer', 'cabinet', 'drawer', 'storage', 'link', 'multifunctional', 'plastic', 'cabinet', 'can', 'be', 'used', 'to', 'store', 'clothes', 'can', 'also', 'be', 'used', 'to', 'store', 'memories', 'guysss', 'wwkwkw', 'come', 'on', ',', 'discounts', 'are', 'abundant']",netral,"plastic drawer cabinet drawer storage link multifunctional plastic cabinet store clothes store memories guysss wwkwkw , discounts abundant"
"hijab bergo dzevada instant matt link hello beb, let's buy an instant headscarf, really good for swimming out of the house, grab a package or for playing healing with your affair, come on, cusssss","['hijab', 'bergo', 'dzevada', 'instant', 'matt', 'link', 'hello', 'beb', ',', 'let', ""'s"", 'buy', 'an', 'instant', 'headscarf', ',', 'really', 'good', 'for', 'swimming', 'out', 'of', 'the', 'house', ',', 'grab', 'a', 'package', 'or', 'for', 'playing', 'healing', 'with', 'your', 'affair', ',', 'come', 'on', ',', 'cusssss']",positif,"hijab bergo dzevada instant matt link beb , 's instant headscarf , swimming house , grab package playing healing affair , , cusssss"
lilith and eve daisy eau de parfum edp perfume link perfume that is really suitable for gifts or everyday use guyssss come on while you're at it nich,"['lilith', 'and', 'eve', 'daisy', 'eau', 'de', 'parfum', 'edp', 'perfume', 'link', 'perfume', 'that', 'is', 'really', 'suitable', 'for', 'gifts', 'or', 'everyday', 'use', 'guyssss', 'come', 'on', 'while', 'you', ""'re"", 'at', 'it', 'nich']",netral,lilith eve daisy eau parfum edp perfume link perfume suitable gifts everyday guyssss 're nich
"What is incomplete will be resolved by Mr. Anies later, God willing, it will be his blessing for him to become the leader of this nation","['What', 'is', 'incomplete', 'will', 'be', 'resolved', 'by', 'Mr.', 'Anies', 'later', ',', 'God', 'willing', ',', 'it', 'will', 'be', 'his', 'blessing', 'for', 'him', 'to', 'become', 'the', 'leader', 'of', 'this', 'nation']",positif,"incomplete resolved Mr. Anies , God , blessing leader nation"
Anies' reason for presenting the TWS victim's father as a supporter of Prabowo in the presidential election via,"['Anies', ""'"", 'reason', 'for', 'presenting', 'the', 'TWS', 'victim', ""'s"", 'father', 'as', 'a', 'supporter', 'of', 'Prabowo', 'in', 'the', 'presidential', 'election', 'via']",positif,Anies ' reason TWS victim 's father supporter Prabowo presidential election
Presidential candidate Anies Prabowo's first debate and his reward in the presidential election,"['Presidential', 'candidate', 'Anies', 'Prabowo', ""'s"", 'first', 'debate', 'and', 'his', 'reward', 'in', 'the', 'presidential', 'election']",positif,Presidential candidate Anies Prabowo 's debate reward presidential election
"that's right, Mr Anies","['that', ""'s"", 'right', ',', 'Mr', 'Anies']",netral,"'s , Anies"
Anies' friendship with Cakimin Imin in the vice presidential debate,"['Anies', ""'"", 'friendship', 'with', 'Cakimin', 'Imin', 'in', 'the', 'vice', 'presidential', 'debate']",positif,Anies ' friendship Cakimin Imin vice presidential debate
"That's right, Mr Anies Aminno PKSnomor","['That', ""'s"", 'right', ',', 'Mr', 'Anies', 'Aminno', 'PKSnomor']",netral,"'s , Anies Aminno PKSnomor"
Will the format of the presidential debate in January change or not? This is what the KPU commissioner said,"['Will', 'the', 'format', 'of', 'the', 'presidential', 'debate', 'in', 'January', 'change', 'or', 'not', '?', 'This', 'is', 'what', 'the', 'KPU', 'commissioner', 'said']",netral,format presidential debate January change ? KPU commissioner
"gaza is weak kiw kiw come on sir, in fact we have to learn about courage from gaza, we have to learn to make our own defense equipment from gaza and we have to learn the best modern defense from gaza when they were blockaded for years","['gaza', 'is', 'weak', 'kiw', 'kiw', 'come', 'on', 'sir', ',', 'in', 'fact', 'we', 'have', 'to', 'learn', 'about', 'courage', 'from', 'gaza', ',', 'we', 'have', 'to', 'learn', 'to', 'make', 'our', 'own', 'defense', 'equipment', 'from', 'gaza', 'and', 'we', 'have', 'to', 'learn', 'the', 'best', 'modern', 'defense', 'from', 'gaza', 'when', 'they', 'were', 'blockaded', 'for', 'years']",positif,"gaza weak kiw kiw sir , learn courage gaza , learn defense equipment gaza learn modern defense gaza blockaded"
"The assessment of the debate here from the most superior candidate pair, Mr Ganjar, is great, sir","['The', 'assessment', 'of', 'the', 'debate', 'here', 'from', 'the', 'most', 'superior', 'candidate', 'pair', ',', 'Mr', 'Ganjar', ',', 'is', 'great', ',', 'sir']",positif,"assessment debate superior candidate pair , Ganjar , , sir"
"It's scary that supporters of one of the presidential candidates want to threaten to shoot the presidential candidate and there are lots of reply comments that support this threat, notes in screenshots on their own cellphones","['It', ""'s"", 'scary', 'that', 'supporters', 'of', 'one', 'of', 'the', 'presidential', 'candidates', 'want', 'to', 'threaten', 'to', 'shoot', 'the', 'presidential', 'candidate', 'and', 'there', 'are', 'lots', 'of', 'reply', 'comments', 'that', 'support', 'this', 'threat', ',', 'notes', 'in', 'screenshots', 'on', 'their', 'own', 'cellphones']",negatif,"'s scary supporters presidential candidates threaten shoot presidential candidate lots reply comments support threat , notes screenshots cellphones"
"What is the reality, Mr Anies?","['What', 'is', 'the', 'reality', ',', 'Mr', 'Anies', '?']",netral,"reality , Anies ?"
my homeland is Indonesia continue the lyrics,"['my', 'homeland', 'is', 'Indonesia', 'continue', 'the', 'lyrics']",netral,homeland Indonesia continue lyrics
geopolitical topic: new initiative for Indonesia to contribute to managing the South China Sea conflict,"['geopolitical', 'topic', ':', 'new', 'initiative', 'for', 'Indonesia', 'to', 'contribute', 'to', 'managing', 'the', 'South', 'China', 'Sea', 'conflict']",negatif,geopolitical topic : initiative Indonesia contribute managing South China Sea conflict
security topic commitment to structuring defense & security institutions to overcome overlapping institutional authority,"['security', 'topic', 'commitment', 'to', 'structuring', 'defense', '&', 'security', 'institutions', 'to', 'overcome', 'overlapping', 'institutional', 'authority']",positif,security topic commitment structuring defense & security institutions overcome overlapping institutional authority
topic of international relations strategy to develop a more concrete road map in strengthening cooperation with the south,"['topic', 'of', 'international', 'relations', 'strategy', 'to', 'develop', 'a', 'more', 'concrete', 'road', 'map', 'in', 'strengthening', 'cooperation', 'with', 'the', 'south']",positif,topic international relations strategy develop concrete road map strengthening cooperation south
qna defense topic policy to gain access to technology and its development to strengthen indonesian defense,"['qna', 'defense', 'topic', 'policy', 'to', 'gain', 'access', 'to', 'technology', 'and', 'its', 'development', 'to', 'strengthen', 'indonesian', 'defense']",positif,qna defense topic policy gain access technology development strengthen indonesian defense
Mr. Anies uses software,"['Mr.', 'Anies', 'uses', 'software']",netral,Mr. Anies software
Anies gave the score because the Ministry of Defense did not think about Rumdin TNI,"['Anies', 'gave', 'the', 'score', 'because', 'the', 'Ministry', 'of', 'Defense', 'did', 'not', 'think', 'about', 'Rumdin', 'TNI']",positif,Anies score Ministry Defense Rumdin TNI
"Always healthy, Mr. Anies. I hope you can see Mr. Prabowo become president i","['Always', 'healthy', ',', 'Mr.', 'Anies', '.', 'I', 'hope', 'you', 'can', 'see', 'Mr.', 'Prabowo', 'become', 'president', 'i']",positif,"healthy , Mr. Anies . hope Mr. Prabowo president"
"Good performance like this is given a bad score, what can you do?","['Good', 'performance', 'like', 'this', 'is', 'given', 'a', 'bad', 'score', ',', 'what', 'can', 'you', 'do', '?']",positif,"performance bad score , ?"
Debate state issues Debate Prabowo,"['Debate', 'state', 'issues', 'Debate', 'Prabowo']",netral,Debate issues Debate Prabowo
Attacked over procurement of used planes Prabowo thinks Anies doesn't understand defense. Read more at,"['Attacked', 'over', 'procurement', 'of', 'used', 'planes', 'Prabowo', 'thinks', 'Anies', 'does', ""n't"", 'understand', 'defense', '.', 'Read', 'more', 'at']",negatif,Attacked procurement planes Prabowo Anies n't understand defense . Read
"Palestine was also mentioned in the presidential candidate debate last night, Anies Prabowo's attitude and Ganjar passed","['Palestine', 'was', 'also', 'mentioned', 'in', 'the', 'presidential', 'candidate', 'debate', 'last', 'night', ',', 'Anies', 'Prabowo', ""'s"", 'attitude', 'and', 'Ganjar', 'passed']",netral,"Palestine mentioned presidential candidate debate night , Anies Prabowo 's attitude Ganjar passed"
